# Copyright (C) 1991-2013 Altera Corporation
# Your use of Altera Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Altera Program License 
# Subscription Agreement, Altera MegaCore Function License 
# Agreement, or other applicable license agreement, including, 
# without limitation, that your use is for the sole purpose of 
# programming logic devices manufactured by Altera and sold by 
# Altera or its authorized distributors.  Please refer to the 
# applicable agreement for further details.

# Quartus II 32-bit Version 13.0.1 Build 232 06/12/2013 Service Pack 1 SJ Web Edition
# File: /home/amr/FPGA/TG68MiniSOC/Board/de1/de1pins.csv
# Generated on: Mon Dec 30 14:33:26 2013

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus II software.

To,Direction,Location,I/O Standard,Current Strength,Fast Input Register,Fast Output Enable Register,Fast Output Register,Weak Pull-Up Resistor
HEX0[2],Unknown,PIN_H2,3.3-V LVTTL,,,,,
HEX0[3],Unknown,PIN_H1,3.3-V LVTTL,,,,,
HEX0[4],Unknown,PIN_F2,3.3-V LVTTL,,,,,
HEX0[5],Unknown,PIN_F1,3.3-V LVTTL,,,,,
HEX0[6],Unknown,PIN_E2,3.3-V LVTTL,,,,,
HEX1[0],Unknown,PIN_E1,3.3-V LVTTL,,,,,
HEX1[1],Unknown,PIN_H6,3.3-V LVTTL,,,,,
HEX1[2],Unknown,PIN_H5,3.3-V LVTTL,,,,,
HEX1[3],Unknown,PIN_H4,3.3-V LVTTL,,,,,
HEX1[4],Unknown,PIN_G3,3.3-V LVTTL,,,,,
HEX1[5],Unknown,PIN_D2,3.3-V LVTTL,,,,,
HEX1[6],Unknown,PIN_D1,3.3-V LVTTL,,,,,
HEX2[0],Unknown,PIN_G5,3.3-V LVTTL,,,,,
HEX2[1],Unknown,PIN_G6,3.3-V LVTTL,,,,,
HEX2[2],Unknown,PIN_C2,3.3-V LVTTL,,,,,
HEX2[3],Unknown,PIN_C1,3.3-V LVTTL,,,,,
HEX2[4],Unknown,PIN_E3,3.3-V LVTTL,,,,,
HEX2[5],Unknown,PIN_E4,3.3-V LVTTL,,,,,
HEX2[6],Unknown,PIN_D3,3.3-V LVTTL,,,,,
HEX3[0],Unknown,PIN_F4,3.3-V LVTTL,,,,,
HEX3[1],Unknown,PIN_D5,3.3-V LVTTL,,,,,
HEX3[2],Unknown,PIN_D6,3.3-V LVTTL,,,,,
HEX3[3],Unknown,PIN_J4,3.3-V LVTTL,,,,,
HEX3[4],Unknown,PIN_L8,3.3-V LVTTL,,,,,
HEX3[5],Unknown,PIN_F3,3.3-V LVTTL,,,,,
HEX3[6],Unknown,PIN_D4,3.3-V LVTTL,,,,,
KEY[0],Unknown,PIN_R22,3.3-V LVTTL,,,,,
KEY[1],Unknown,PIN_R21,3.3-V LVTTL,,,,,
KEY[2],Unknown,PIN_T22,3.3-V LVTTL,,,,,
KEY[3],Unknown,PIN_T21,3.3-V LVTTL,,,,,
LEDR[0],Unknown,PIN_R20,3.3-V LVTTL,,,,,
LEDR[1],Unknown,PIN_R19,3.3-V LVTTL,,,,,
LEDR[2],Unknown,PIN_U19,3.3-V LVTTL,,,,,
LEDR[3],Unknown,PIN_Y19,3.3-V LVTTL,,,,,
LEDR[4],Unknown,PIN_T18,3.3-V LVTTL,,,,,
LEDR[5],Unknown,PIN_V19,3.3-V LVTTL,,,,,
LEDR[6],Unknown,PIN_Y18,3.3-V LVTTL,,,,,
LEDR[7],Unknown,PIN_U18,3.3-V LVTTL,,,,,
LEDR[8],Unknown,PIN_R18,3.3-V LVTTL,,,,,
LEDR[9],Unknown,PIN_R17,3.3-V LVTTL,,,,,
LEDG[0],Unknown,PIN_U22,3.3-V LVTTL,,,,,
LEDG[1],Unknown,PIN_U21,3.3-V LVTTL,,,,,
LEDG[2],Unknown,PIN_V22,3.3-V LVTTL,,,,,
LEDG[3],Unknown,PIN_V21,3.3-V LVTTL,,,,,
LEDG[4],Unknown,PIN_W22,3.3-V LVTTL,,,,,
LEDG[5],Unknown,PIN_W21,3.3-V LVTTL,,,,,
LEDG[6],Unknown,PIN_Y22,3.3-V LVTTL,,,,,
LEDG[7],Unknown,PIN_Y21,3.3-V LVTTL,,,,,
CLOCK_27[0],Unknown,PIN_D12,,,,,,
CLOCK_27[1],Unknown,PIN_E12,3.3-V LVTTL,,,,,
CLOCK_24[0],Unknown,PIN_B12,3.3-V LVTTL,,,,,
CLOCK_24[1],Unknown,PIN_A12,3.3-V LVTTL,,,,,
CLOCK_50,Unknown,PIN_L1,3.3-V LVTTL,,,,,
EXT_CLOCK,Unknown,PIN_M21,3.3-V LVTTL,,,,,
PS2_CLK,Unknown,PIN_H15,3.3-V LVTTL,,,,,
PS2_DAT,Unknown,PIN_J14,3.3-V LVTTL,,,,,
UART_RXD,Unknown,PIN_F14,3.3-V LVTTL,,,,,
UART_TXD,Unknown,PIN_G12,3.3-V LVTTL,,,,,
TDI,Unknown,PIN_E8,3.3-V LVTTL,,,,,
TCS,Unknown,PIN_D8,3.3-V LVTTL,,,,,
TCK,Unknown,PIN_C7,3.3-V LVTTL,,,,,
TDO,Unknown,PIN_D7,3.3-V LVTTL,,,,,
VGA_R[0],Unknown,PIN_D9,3.3-V LVTTL,,,,,
VGA_R[1],Unknown,PIN_C9,3.3-V LVTTL,,,,,
VGA_R[2],Unknown,PIN_A7,3.3-V LVTTL,,,,,
VGA_R[3],Unknown,PIN_B7,3.3-V LVTTL,,,,,
VGA_G[0],Unknown,PIN_B8,3.3-V LVTTL,,,,,
VGA_G[1],Unknown,PIN_C10,3.3-V LVTTL,,,,,
VGA_G[2],Unknown,PIN_B9,3.3-V LVTTL,,,,,
VGA_G[3],Unknown,PIN_A8,3.3-V LVTTL,,,,,
VGA_B[0],Unknown,PIN_A9,3.3-V LVTTL,,,,,
VGA_B[1],Unknown,PIN_D11,3.3-V LVTTL,,,,,
VGA_B[2],Unknown,PIN_A10,3.3-V LVTTL,,,,,
VGA_B[3],Unknown,PIN_B10,3.3-V LVTTL,,,,,
VGA_HS,Unknown,PIN_A11,3.3-V LVTTL,,,,,
VGA_VS,Unknown,PIN_B11,3.3-V LVTTL,,,,,
I2C_SCLK,Unknown,PIN_A3,3.3-V LVTTL,,,,,
I2C_SDAT,Unknown,PIN_B3,3.3-V LVTTL,,,,,
AUD_ADCLRCK,Unknown,PIN_A6,3.3-V LVTTL,,,,,
AUD_ADCDAT,Unknown,PIN_B6,3.3-V LVTTL,,,,,
AUD_DACLRCK,Unknown,PIN_A5,3.3-V LVTTL,,,,,
AUD_DACDAT,Unknown,PIN_B5,3.3-V LVTTL,,,,,
AUD_XCK,Unknown,PIN_B4,3.3-V LVTTL,,,,,
AUD_BCLK,Unknown,PIN_A4,3.3-V LVTTL,,,,,
DRAM_ADDR[0],Unknown,PIN_W4,,,,,,
DRAM_ADDR[1],Unknown,PIN_W5,,,,,,
DRAM_ADDR[2],Unknown,PIN_Y3,,,,,,
DRAM_ADDR[3],Unknown,PIN_Y4,,,,,,
DRAM_ADDR[4],Unknown,PIN_R6,,,,,,
DRAM_ADDR[5],Unknown,PIN_R5,,,,,,
DRAM_ADDR[6],Unknown,PIN_P6,,,,,,
DRAM_ADDR[7],Unknown,PIN_P5,,,,,,
DRAM_ADDR[8],Unknown,PIN_P3,,,,,,
DRAM_ADDR[9],Unknown,PIN_N4,,,,,,
DRAM_ADDR[10],Unknown,PIN_W3,,,,,,
DRAM_ADDR[11],Unknown,PIN_N6,,,,,,
DRAM_DQ[0],Unknown,PIN_U1,,,,,,
DRAM_DQ[1],Unknown,PIN_U2,,,,,,
DRAM_DQ[2],Unknown,PIN_V1,,,,,,
DRAM_DQ[3],Unknown,PIN_V2,,,,,,
DRAM_DQ[4],Unknown,PIN_W1,,,,,,
DRAM_DQ[5],Unknown,PIN_W2,,,,,,
DRAM_DQ[6],Unknown,PIN_Y1,,,,,,
DRAM_DQ[7],Unknown,PIN_Y2,,,,,,
DRAM_DQ[8],Unknown,PIN_N1,,,,,,
DRAM_DQ[9],Unknown,PIN_N2,,,,,,
DRAM_DQ[10],Unknown,PIN_P1,,,,,,
DRAM_DQ[11],Unknown,PIN_P2,,,,,,
DRAM_DQ[12],Unknown,PIN_R1,,,,,,
DRAM_DQ[13],Unknown,PIN_R2,,,,,,
DRAM_DQ[14],Unknown,PIN_T1,,,,,,
DRAM_DQ[15],Unknown,PIN_T2,,,,,,
FL_ADDR[0],Unknown,PIN_AB20,,,,,,
FL_ADDR[1],Unknown,PIN_AA14,,,,,,
FL_ADDR[2],Unknown,PIN_Y16,,,,,,
FL_ADDR[3],Unknown,PIN_R15,,,,,,
FL_ADDR[4],Unknown,PIN_T15,,,,,,
FL_ADDR[5],Unknown,PIN_U15,,,,,,
FL_ADDR[6],Unknown,PIN_V15,,,,,,
FL_ADDR[7],Unknown,PIN_W15,,,,,,
FL_ADDR[8],Unknown,PIN_R14,,,,,,
FL_ADDR[9],Unknown,PIN_Y13,,,,,,
FL_ADDR[10],Unknown,PIN_R12,,,,,,
FL_ADDR[11],Unknown,PIN_T12,,,,,,
FL_ADDR[12],Unknown,PIN_AB14,,,,,,
FL_ADDR[13],Unknown,PIN_AA13,,,,,,
FL_ADDR[14],Unknown,PIN_AB13,,,,,,
FL_ADDR[15],Unknown,PIN_AA12,,,,,,
FL_ADDR[16],Unknown,PIN_AB12,,,,,,
FL_ADDR[17],Unknown,PIN_AA20,,,,,,
FL_ADDR[18],Unknown,PIN_U14,,,,,,
FL_ADDR[19],Unknown,PIN_V14,,,,,,
FL_ADDR[20],Unknown,PIN_U13,,,,,,
FL_ADDR[21],Unknown,PIN_R13,,,,,,
FL_DQ[0],Unknown,PIN_AB16,,,,,,
FL_DQ[1],Unknown,PIN_AA16,,,,,,
FL_DQ[2],Unknown,PIN_AB17,,,,,,
FL_DQ[3],Unknown,PIN_AA17,,,,,,
FL_DQ[4],Unknown,PIN_AB18,,,,,,
FL_DQ[5],Unknown,PIN_AA18,,,,,,
FL_DQ[6],Unknown,PIN_AB19,,,,,,
FL_DQ[7],Unknown,PIN_AA19,,,,,,
FL_OE_N,Unknown,PIN_AA15,,,,,,
FL_RST_N,Unknown,PIN_W14,,,,,,
FL_WE_N,Unknown,PIN_Y14,,,,,,
SRAM_ADDR[0],Unknown,PIN_AA3,,,,,,
SRAM_ADDR[1],Unknown,PIN_AB3,,,,,,
SRAM_ADDR[2],Unknown,PIN_AA4,,,,,,
SRAM_ADDR[3],Unknown,PIN_AB4,,,,,,
SRAM_ADDR[4],Unknown,PIN_AA5,,,,,,
SRAM_ADDR[5],Unknown,PIN_AB10,,,,,,
SRAM_ADDR[6],Unknown,PIN_AA11,,,,,,
SRAM_ADDR[7],Unknown,PIN_AB11,,,,,,
SRAM_ADDR[8],Unknown,PIN_V11,,,,,,
SRAM_ADDR[9],Unknown,PIN_W11,,,,,,
SRAM_ADDR[10],Unknown,PIN_R11,,,,,,
SRAM_ADDR[11],Unknown,PIN_T11,,,,,,
SRAM_ADDR[12],Unknown,PIN_Y10,,,,,,
SRAM_ADDR[13],Unknown,PIN_U10,,,,,,
SRAM_ADDR[14],Unknown,PIN_R10,,,,,,
SRAM_ADDR[15],Unknown,PIN_T7,,,,,,
SRAM_ADDR[16],Unknown,PIN_Y6,,,,,,
SRAM_ADDR[17],Unknown,PIN_Y5,,,,,,
SRAM_CE_N,Unknown,PIN_AB5,,,,,,
SRAM_DQ[0],Unknown,PIN_AA6,,,,,,
SRAM_DQ[1],Unknown,PIN_AB6,,,,,,
SRAM_DQ[2],Unknown,PIN_AA7,,,,,,
SRAM_DQ[3],Unknown,PIN_AB7,,,,,,
SRAM_DQ[4],Unknown,PIN_AA8,,,,,,
SRAM_DQ[5],Unknown,PIN_AB8,,,,,,
SRAM_DQ[6],Unknown,PIN_AA9,,,,,,
SRAM_DQ[7],Unknown,PIN_AB9,,,,,,
SRAM_DQ[8],Unknown,PIN_Y9,,,,,,
SRAM_DQ[9],Unknown,PIN_W9,,,,,,
SRAM_DQ[10],Unknown,PIN_V9,,,,,,
SRAM_DQ[11],Unknown,PIN_U9,,,,,,
SRAM_DQ[12],Unknown,PIN_R9,,,,,,
SRAM_DQ[13],Unknown,PIN_W8,,,,,,
SRAM_DQ[14],Unknown,PIN_V8,,,,,,
SRAM_DQ[15],Unknown,PIN_U8,,,,,,
SRAM_LB_N,Unknown,PIN_Y7,,,,,,
SRAM_OE_N,Unknown,PIN_T8,,,,,,
SRAM_UB_N,Unknown,PIN_W7,,,,,,
SRAM_WE_N,Unknown,PIN_AA10,,,,,,
FL_CE_N,Unknown,PIN_AB15,,,,,,
SD_CLK,Unknown,PIN_V20,,,,,,
SD_CMD,Unknown,PIN_Y20,,,,,,
SD_DAT,Unknown,PIN_W20,,,,,,
SD_DAT3,Unknown,PIN_U20,,,,,,
