Reference, Value, Footprint, Datasheet
"U11","74LS173","Housings_DIP:DIP-16_W7.62mm",""
"U12","74LS173","Housings_DIP:DIP-16_W7.62mm",""
"U10","74LS245","Housings_DIP:DIP-20_W7.62mm",""
"D18","RED","LEDs:LED_D5.0mm",""
"D19","RED","LEDs:LED_D5.0mm",""
"D20","RED","LEDs:LED_D5.0mm",""
"D21","RED","LEDs:LED_D5.0mm",""
"D22","RED","LEDs:LED_D5.0mm",""
"D23","RED","LEDs:LED_D5.0mm",""
"D24","RED","LEDs:LED_D5.0mm",""
"D25","RED","LEDs:LED_D5.0mm",""
"R32","220","Resistors_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal",""
"R33","220","Resistors_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal",""
"R34","220","Resistors_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal",""
"R35","220","Resistors_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal",""
"R36","220","Resistors_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal",""
"R37","220","Resistors_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal",""
"R38","220","Resistors_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal",""
"R39","220","Resistors_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal",""
"C12","0.1µF","Capacitors_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm",""
"U14","74LS173","Housings_DIP:DIP-16_W7.62mm",""
"U15","74LS173","Housings_DIP:DIP-16_W7.62mm",""
"U13","74LS245","Housings_DIP:DIP-20_W7.62mm",""
"D26","BLUE","LEDs:LED_D5.0mm",""
"D27","BLUE","LEDs:LED_D5.0mm",""
"D28","BLUE","LEDs:LED_D5.0mm",""
"D29","BLUE","LEDs:LED_D5.0mm",""
"D30","YELLOW","LEDs:LED_D5.0mm",""
"D31","YELLOW","LEDs:LED_D5.0mm",""
"D32","YELLOW","LEDs:LED_D5.0mm",""
"D33","YELLOW","LEDs:LED_D5.0mm",""
"R40","220","Resistors_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal",""
"R41","220","Resistors_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal",""
"R42","220","Resistors_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal",""
"R43","220","Resistors_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal",""
"R44","220","Resistors_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal",""
"R45","220","Resistors_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal",""
"R46","220","Resistors_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal",""
"R47","220","Resistors_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal",""
"C13","0.1µF","Capacitors_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm",""
"U17","74LS245","Housings_DIP:DIP-20_W7.62mm",""
"U20","74LS283","Housings_DIP:DIP-16_W7.62mm",""
"U21","74LS283","Housings_DIP:DIP-16_W7.62mm",""
"U18","74LS86","Housings_DIP:DIP-14_W7.62mm",""
"U16","74LS86","Housings_DIP:DIP-14_W7.62mm",""
"U22","74LS02","Housings_DIP:DIP-14_W7.62mm",""
"U23","74LS08","Housings_DIP:DIP-14_W7.62mm",""
"U19","74LS173","Housings_DIP:DIP-16_W7.62mm",""
"D34","GREEN","LEDs:LED_D5.0mm",""
"D35","GREEN","LEDs:LED_D5.0mm",""
"R48","220","Resistors_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal",""
"R49","220","Resistors_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal",""
"C14","0.1µF","Capacitors_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm",""
"C15","0.1µF","Capacitors_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm",""
"D74","RED","LEDs:LED_D5.0mm",""
"D75","RED","LEDs:LED_D5.0mm",""
"D76","RED","LEDs:LED_D5.0mm",""
"D77","RED","LEDs:LED_D5.0mm",""
"D78","RED","LEDs:LED_D5.0mm",""
"D79","RED","LEDs:LED_D5.0mm",""
"D80","RED","LEDs:LED_D5.0mm",""
"D81","RED","LEDs:LED_D5.0mm",""
"R92","220","Resistors_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal",""
"R93","220","Resistors_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal",""
"R94","220","Resistors_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal",""
"R95","220","Resistors_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal",""
"R96","220","Resistors_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal",""
"R97","220","Resistors_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal",""
"R98","220","Resistors_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal",""
"R99","220","Resistors_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal",""
"U24","74189","Housings_DIP:DIP-16_W7.62mm",""
"U25","74189","Housings_DIP:DIP-16_W7.62mm",""
"U28","74LS04","Housings_DIP:DIP-14_W7.62mm",""
"U29","74LS04","Housings_DIP:DIP-14_W7.62mm",""
"U30","74LS245","Housings_DIP:DIP-20_W7.62mm",""
"U26","74LS157","Housings_DIP:DIP-16_W7.62mm",""
"U27","74LS157","Housings_DIP:DIP-16_W7.62mm",""
"U32","74LS157","Housings_DIP:DIP-16_W7.62mm",""
"SW3","SW_DIP_x08","Buttons_Switches_THT:SW_DIP_x8_Slide",""
"SW4","SW_Push","Buttons_Switches_THT:SW_PUSH_6mm",""
"U31","74LS00","Housings_DIP:DIP-14_W7.62mm",""
"C7","0.01µF","Capacitors_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm",""
"R58","1K","Resistors_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal",""
"D43","RED","LEDs:LED_D5.0mm",""
"D42","RED","LEDs:LED_D5.0mm",""
"D41","RED","LEDs:LED_D5.0mm",""
"D40","RED","LEDs:LED_D5.0mm",""
"D39","RED","LEDs:LED_D5.0mm",""
"D38","RED","LEDs:LED_D5.0mm",""
"D37","RED","LEDs:LED_D5.0mm",""
"D36","RED","LEDs:LED_D5.0mm",""
"R50","220","Resistors_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal",""
"R51","220","Resistors_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal",""
"R52","220","Resistors_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal",""
"R53","220","Resistors_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal",""
"R54","220","Resistors_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal",""
"R55","220","Resistors_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal",""
"R56","220","Resistors_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal",""
"R57","220","Resistors_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal",""
"C17","0.1µF","Capacitors_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm",""
"C16","0.1µF","Capacitors_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm",""
"U33","74LS157","Housings_DIP:DIP-16_W7.62mm",""
"U34","74LS173","Housings_DIP:DIP-16_W7.62mm",""
"SW5","SW_DIP_x04","Buttons_Switches_THT:SW_DIP_x4_Slide",""
"SW6","SW_SPDT","8bit-custom-footprints:DPDT-pushbutton",""
"D48","RED","LEDs:LED_D5.0mm",""
"D49","GREEN","LEDs:LED_D5.0mm",""
"R63","1K","Resistors_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal",""
"R64","1K","Resistors_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal",""
"D47","YELLOW","LEDs:LED_D5.0mm",""
"D46","YELLOW","LEDs:LED_D5.0mm",""
"D45","YELLOW","LEDs:LED_D5.0mm",""
"D44","YELLOW","LEDs:LED_D5.0mm",""
"R62","220","Resistors_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal",""
"R61","220","Resistors_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal",""
"R60","220","Resistors_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal",""
"R59","220","Resistors_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal",""
"C18","0.1µF","Capacitors_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm",""
"U35","74LS161","Housings_DIP:DIP-16_W7.62mm",""
"U36","74LS245","Housings_DIP:DIP-20_W7.62mm",""
"C19","0.1µF","Capacitors_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm",""
"D82","GREEN","LEDs:LED_D5.0mm",""
"D83","GREEN","LEDs:LED_D5.0mm",""
"D84","GREEN","LEDs:LED_D5.0mm",""
"D85","GREEN","LEDs:LED_D5.0mm",""
"R100","220","Resistors_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal",""
"R101","220","Resistors_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal",""
"R102","220","Resistors_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal",""
"R103","220","Resistors_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal",""
"U45","28C16","Housings_DIP:DIP-24_W15.24mm",""
"U43","7SEGMENT_CC","Displays_7-Segment:7SegmentLED_LTS6760_LTS6780",""
"U42","7SEGMENT_CC","Displays_7-Segment:7SegmentLED_LTS6760_LTS6780",""
"U40","7SEGMENT_CC","Displays_7-Segment:7SegmentLED_LTS6760_LTS6780",""
"U41","7SEGMENT_CC","Displays_7-Segment:7SegmentLED_LTS6760_LTS6780",""
"R65","1K","Resistors_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal",""
"R66","100K","Resistors_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal",""
"C9","0.01µF","Capacitors_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm",""
"C8","0.01µF","Capacitors_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm",""
"U39","LM555","Housings_DIP:DIP-8_W7.62mm",""
"U46","74LS08","Housings_DIP:DIP-14_W7.62mm",""
"U37","74LS76","Housings_DIP:DIP-16_W7.62mm",""
"U38","74LS139","Housings_DIP:DIP-16_W7.62mm",""
"U44","74LS273","Housings_DIP:DIP-20_W7.62mm",""
"SW7","SW_SPDT","8bit-custom-footprints:DPDT-pushbutton",""
"C20","0.1µF","Capacitors_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm",""
"C21","0.1µF","Capacitors_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm",""
"U48","74LS161","Housings_DIP:DIP-16_W7.62mm",""
"U50","74LS138","Housings_DIP:DIP-16_W7.62mm",""
"U47","28C16","Housings_DIP:DIP-24_W15.24mm",""
"U52","28C16","Housings_DIP:DIP-24_W15.24mm",""
"D58","BLUE","LEDs:LED_D5.0mm",""
"D59","BLUE","LEDs:LED_D5.0mm",""
"D60","BLUE","LEDs:LED_D5.0mm",""
"D61","BLUE","LEDs:LED_D5.0mm",""
"D62","BLUE","LEDs:LED_D5.0mm",""
"D63","BLUE","LEDs:LED_D5.0mm",""
"D64","BLUE","LEDs:LED_D5.0mm",""
"D65","BLUE","LEDs:LED_D5.0mm",""
"D66","BLUE","LEDs:LED_D5.0mm",""
"D67","BLUE","LEDs:LED_D5.0mm",""
"D68","BLUE","LEDs:LED_D5.0mm",""
"D69","BLUE","LEDs:LED_D5.0mm",""
"D70","BLUE","LEDs:LED_D5.0mm",""
"D71","BLUE","LEDs:LED_D5.0mm",""
"D72","BLUE","LEDs:LED_D5.0mm",""
"D73","BLUE","LEDs:LED_D5.0mm",""
"U49","74LS04","Housings_DIP:DIP-14_W7.62mm",""
"U53","74LS04","Housings_DIP:DIP-14_W7.62mm",""
"U51","74LS00","Housings_DIP:DIP-14_W7.62mm",""
"SW8","Reset","Buttons_Switches_THT:SW_PUSH_6mm",""
"R74","220","Resistors_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal",""
"R75","1K","Resistors_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal",""
"R76","220","Resistors_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal",""
"R77","220","Resistors_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal",""
"R78","220","Resistors_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal",""
"R79","220","Resistors_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal",""
"R80","220","Resistors_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal",""
"R81","220","Resistors_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal",""
"R82","220","Resistors_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal",""
"R83","220","Resistors_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal",""
"R84","220","Resistors_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal",""
"R85","220","Resistors_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal",""
"R86","220","Resistors_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal",""
"R87","220","Resistors_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal",""
"R88","220","Resistors_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal",""
"R89","220","Resistors_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal",""
"R90","220","Resistors_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal",""
"D57","RED","LEDs:LED_D5.0mm",""
"D54","RED","LEDs:LED_D5.0mm",""
"D51","RED","LEDs:LED_D5.0mm",""
"R67","220","Resistors_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal",""
"R70","220","Resistors_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal",""
"R73","220","Resistors_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal",""
"D50","GREEN","LEDs:LED_D5.0mm",""
"D52","GREEN","LEDs:LED_D5.0mm",""
"D53","GREEN","LEDs:LED_D5.0mm",""
"D55","GREEN","LEDs:LED_D5.0mm",""
"D56","GREEN","LEDs:LED_D5.0mm",""
"R91","220","Resistors_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal",""
"R68","220","Resistors_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal",""
"R69","220","Resistors_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal",""
"R71","220","Resistors_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal",""
"R72","220","Resistors_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal",""
"C22","0.1µF","Capacitors_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm",""
"C23","0.1µF","Capacitors_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm",""
