#Release 8.2i - par I.31
#Copyright (c) 1995-2006 Xilinx, Inc.  All rights reserved.

#Thu Dec 21 09:18:51 2006

#
## NOTE: This file is designed to be imported into a spreadsheet program
# such as Microsoft Excel for viewing, printing and sorting. The |
# character is used as the data field separator. This file is also designed
# to support parsing.
#
#INPUT FILE:       fpga_map.ncd
#OUTPUT FILE:      fpga_pad.csv
#PART TYPE:        xc2s200
#SPEED GRADE:      -5
#PACKAGE:          fg256
#
# Pinout by Pin Number:
# 
# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,Drive (mA),Slew Rate,Termination,IOB Delay,Voltage,Constraint,DCI Value,IO Register,Signal Integrity,
J5,,,VCCO_6,,,6,,,,,any******,,,,,
J6,,,VCCO_6,,,6,,,,,any******,,,,,
J7,,,GND,,,,,,,,,,,,,
J8,,,GND,,,,,,,,,,,,,
J9,,,GND,,,,,,,,,,,,,
J10,,,GND,,,,,,,,,,,,,
J11,,,VCCO_3,,,3,,,,,3.30,,,,,
J12,,,VCCO_3,,,3,,,,,3.30,,,,,
J13,,IOB,IO,UNUSED,,2,,,,,,,,,,
J14,,IOB,IO,UNUSED,,3,,,,,,,,,,
J15,,PCIIOB,IO_TRDY,UNUSED,,3,,,,,,,,,,
J16,fpga_d4,IOB,IO_D4,OUTPUT,LVTTL,3,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
K1,,IOB,IO,UNUSED,,6,,,,,,,,,,
K2,,IOB,IO,UNUSED,,6,,,,,,,,,,
K3,,IOB,IO,UNUSED,,6,,,,,,,,,,
K4,,IOB,IO,UNUSED,,6,,,,,,,,,,
K5,,IOB,IO,UNUSED,,6,,,,,,,,,,
K6,,,GND,,,,,,,,,,,,,
K7,,,GND,,,,,,,,,,,,,
K8,,,GND,,,,,,,,,,,,,
K9,,,GND,,,,,,,,,,,,,
K10,,,GND,,,,,,,,,,,,,
K11,,,GND,,,,,,,,,,,,,
K12,,IOB,IO,UNUSED,,3,,,,,,,,,,
K13,,IOB,IO,UNUSED,,3,,,,,,,,,,
K14,,IOB,IO,UNUSED,,3,,,,,,,,,,
K15,,IOB,IO,UNUSED,,3,,,,,,,,,,
K16,,IOB,IO_VREF_3,UNUSED,,3,,,,,,,,,,
L1,,IOB,IO,UNUSED,,6,,,,,,,,,,
L2,,IOB,IO,UNUSED,,6,,,,,,,,,,
L3,,IOB,IO,UNUSED,,6,,,,,,,,,,
L4,,IOB,IO,UNUSED,,6,,,,,,,,,,
L5,,IOB,IO,UNUSED,,6,,,,,,,,,,
L6,,,GND,,,,,,,,,,,,,
L7,,,GND,,,,,,,,,,,,,
L8,,,VCCO_5,,,5,,,,,any******,,,,,
L9,,,VCCO_4,,,4,,,,,any******,,,,,
L10,,,GND,,,,,,,,,,,,,
L11,,,GND,,,,,,,,,,,,,
L12,,IOB,IO,UNUSED,,3,,,,,,,,,,
L13,,IOB,IO_VREF_3,UNUSED,,3,,,,,,,,,,
L14,,IOB,IO_VREF_3,UNUSED,,3,,,,,,,,,,
L15,,IOB,IO,UNUSED,,3,,,,,,,,,,
L16,,IOB,IO,UNUSED,,3,,,,,,,,,,
M1,,IOB,IO_VREF_6,UNUSED,,6,,,,,,,,,,
M2,,IOB,IO,UNUSED,,6,,,,,,,,,,
M3,,IOB,IO,UNUSED,,6,,,,,,,,,,
M4,,IOB,IO,UNUSED,,6,,,,,,,,,,
M5,,,VCCINT,,,,,,,,2.5,,,,,
M6,,IOB,IO,UNUSED,,5,,,,,,,,,,
M7,,IOB,IO,UNUSED,,5,,,,,,,,,,
M8,,,VCCO_5,,,5,,,,,any******,,,,,
M9,,,VCCO_4,,,4,,,,,any******,,,,,
M10,,IOB,IO,UNUSED,,4,,,,,,,,,,
M11,,IOB,IO,UNUSED,,4,,,,,,,,,,
M12,,,VCCINT,,,,,,,,2.5,,,,,
M13,,IOB,IO_VREF_3,UNUSED,,3,,,,,,,,,,
M14,,IOB,IO,UNUSED,,3,,,,,,,,,,
M15,,IOB,IO,UNUSED,,3,,,,,,,,,,
M16,fpga_d5,IOB,IO_D5,OUTPUT,LVTTL,3,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
N1,,IOB,IO_VREF_6,UNUSED,,6,,,,,,,,,,
N2,,IOB,IO_VREF_6,UNUSED,,6,,,,,,,,,,
N3,,,M0,,,,,,,,,,,,,
N4,,,VCCINT,,,,,,,,2.5,,,,,
N5,,IOB,IO,UNUSED,,5,,,,,,,,,,
N6,,IOB,IO,UNUSED,,5,,,,,,,,,,
N7,,IOB,IO,UNUSED,,5,,,,,,,,,,
N8,,GCLKIOB,GCK0,UNUSED,,4,,,,,,,,,,
N9,,IOB,IO,UNUSED,,4,,,,,,,,,,
N10,,IOB,IO,UNUSED,,4,,,,,,,,,,
N11,,IOB,IO,UNUSED,,4,,,,,,,,,,
N12,,IOB,IO,UNUSED,,4,,,,,,,,,,
N13,,,VCCINT,,,,,,,,2.5,,,,,
N14,fpga_d7,IOB,IO_D7,OUTPUT,LVTTL,3,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
N15,,IOB,IO_INIT,UNUSED,,3,,,,,,,,,,
N16,fpga_d6,IOB,IO_D6,OUTPUT,LVTTL,3,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
P1,,IOB,IO,UNUSED,,6,,,,,,,,,,
P2,,,M1,,,,,,,,,,,,,
P3,,,VCCINT,,,,,,,,2.5,,,,,
P4,,,NC,,,,,,,,,,,,,
P5,,IOB,IO,UNUSED,,5,,,,,,,,,,
P6,,IOB,IO,UNUSED,,5,,,,,,,,,,
P7,,IOB,IO,UNUSED,,5,,,,,,,,,,
P8,,IOB,IO_VREF_5,UNUSED,,5,,,,,,,,,,
P9,,IOB,IO_VREF_4,UNUSED,,4,,,,,,,,,,
P10,,IOB,IO,UNUSED,,4,,,,,,,,,,
P11,,IOB,IO,UNUSED,,4,,,,,,,,,,
P12,,IOB,IO,UNUSED,,4,,,,,,,,,,
P13,,IOB,IO,UNUSED,,4,,,,,,,,,,
P14,,,VCCINT,,,,,,,,2.5,,,,,
P15,,,PROGRAM,,,,,,,,,,,,,
P16,,IOB,IO,UNUSED,,3,,,,,,,,,,
R1,,IOB,IO,UNUSED,,6,,,,,,,,,,
R2,,,GND,,,,,,,,,,,,,
R3,,,M2,,,,,,,,,,,,,
R4,,,NC,,,,,,,,,,,,,
R5,,IOB,IO_VREF_5,UNUSED,,5,,,,,,,,,,
R6,,IOB,IO,UNUSED,,5,,,,,,,,,,
R7,,IOB,IO,UNUSED,,5,,,,,,,,,,
R8,clka,GCLKIOB,GCK1,INPUT,LVTTL,5,,,,NONE,,LOCATED,,NO,NONE,
R9,,IOB,IO,UNUSED,,4,,,,,,,,,,
R10,,IOB,IO,UNUSED,,4,,,,,,,,,,
R11,,IOB,IO,UNUSED,,4,,,,,,,,,,
R12,,IOB,IO,UNUSED,,4,,,,,,,,,,
R13,,IOB,IO_VREF_4,UNUSED,,4,,,,,,,,,,
R14,,,DONE,,,,,,,,,,,,,
R15,,,GND,,,,,,,,,,,,,
R16,,IOB,IO,UNUSED,,3,,,,,,,,,,
T1,,,GND,,,,,,,,,,,,,
T2,,IOB,IO_VREF_5,UNUSED,,5,,,,,,,,,,
T3,,IOB,IO,UNUSED,,5,,,,,,,,,,
T4,,IOB,IO_VREF_5,UNUSED,,5,,,,,,,,,,
T5,,IOB,IO,UNUSED,,5,,,,,,,,,,
T6,,IOB,IO,UNUSED,,5,,,,,,,,,,
T7,,IOB,IO,UNUSED,,5,,,,,,,,,,
T8,,IOB,IO,UNUSED,,5,,,,,,,,,,
T9,,IOB,IO,UNUSED,,4,,,,,,,,,,
T10,,IOB,IO,UNUSED,,4,,,,,,,,,,
T11,,IOB,IO_VREF_4,UNUSED,,4,,,,,,,,,,
T12,,IOB,IO_VREF_4,UNUSED,,4,,,,,,,,,,
T13,,IOB,IO,UNUSED,,4,,,,,,,,,,
T14,,IOB,IO,UNUSED,,4,,,,,,,,,,
T15,,IOB,IO,UNUSED,,3,,,,,,,,,,
T16,,,GND,,,,,,,,,,,,,

# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
# 
#* Default value.
#** This default Pullup/Pulldown value can be overridden in Bitgen. 
#****** Special VCCO requirements may apply. Please consult the device 
#       family datasheet for specific guideline on VCCO requirements. 
#
#
#
